SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6100 11th Rd N,Arlington,VA,22205,899900,3,1.5,MADISON MANOR,1405,6797,1946,5,640,,Active,,,https://www.redfin.com/VA/Arlington/6100-11th-Rd-N-22205/home/11240335,BRIGHT MLS,VAAR2017502,N,Y,38.8810423,-77.1462582
MLS Listing,,Townhouse,3155 S Stafford St,Arlington,VA,22206,604990,2,2.0,FAIRLINGTON GRN,1500,,1940,13,403,453,Active,,,https://www.redfin.com/VA/Arlington/3155-S-Stafford-St-22206/home/11269761,BRIGHT MLS,VAAR2017226,N,Y,38.8374139,-77.0849726
MLS Listing,,Single Family Residential,1660 N George Mason Dr,Arlington,VA,22205,1590000,4,4.5,LARCHMONT,4908,9027,2004,16,324,17,Active,,,https://www.redfin.com/VA/Arlington/1660-N-George-Mason-Dr-22205/home/11279142,BRIGHT MLS,VAAR2016734,N,Y,38.8895598,-77.1291237
MLS Listing,,Townhouse,414 N Thomas St,Arlington,VA,22203,889500,3,2.5,BUCKINGHAM COMMONS,1521,763,2012,20,585,125,Active,June-12-2022 01:00 PM,June-12-2022 04:00 PM,https://www.redfin.com/VA/Arlington/414-N-Thomas-St-22203/home/23385495,BRIGHT MLS,VAAR2016896,N,Y,38.874096,-77.109469
MLS Listing,,Single Family Residential,1616 N Glebe Rd,Arlington,VA,22207,1050000,3,2.5,WAYCROFT,2184,5193,1937,21,481,,Active,,,https://www.redfin.com/VA/Arlington/1616-N-Glebe-Rd-22207/home/11235387,BRIGHT MLS,VAAR2016506,N,Y,38.8907436,-77.1195948
MLS Listing,,Townhouse,3445 S Wakefield St,Arlington,VA,22206,599900,2,2.0,FAIRLINGTON ARBR,1500,,1940,1,400,383,Active,June-12-2022 01:00 PM,June-12-2022 03:00 PM,https://www.redfin.com/VA/Arlington/3445-S-Wakefield-St-22206/home/11269891,BRIGHT MLS,VAAR2017820,N,Y,38.8337344,-77.0909697
MLS Listing,,Townhouse,4137 S Four Mile Run Dr Unit A,Arlington,VA,22204,550000,3,2.5,WEST VILLAGE OF SHIRLINGTON,1356,,1966,1,406,569,Active,,,https://www.redfin.com/VA/Arlington/4137-S-Four-Mile-Run-Dr-22204/unit-A/home/179806051,BRIGHT MLS,VAAR2017612,N,Y,38.8506505,-77.0972504
MLS Listing,,Single Family Residential,3620 N Kensington St,Arlington,VA,22207,975000,4,3.0,WILLIAMSBURG VILLAGE,1403,10199,1959,1,695,,Active,,,https://www.redfin.com/VA/Arlington/3620-N-Kensington-St-22207/home/11228326,BRIGHT MLS,VAAR2017956,N,Y,38.908375,-77.151325
MLS Listing,,Single Family Residential,913 S Ode St,Arlington,VA,22204,750000,3,2.0,FOXCROFT,1941,4200,1938,1,386,,Active,,,https://www.redfin.com/VA/Arlington/913-S-Ode-St-22204/home/11263603,BRIGHT MLS,VAAR2017908,N,Y,38.8673302,-77.0711292
MLS Listing,,Single Family Residential,1805 S Pollard St,Arlington,VA,22204,1150000,7,4.0,DOUGLAS PARK NEW ARL.,4623,8400,1944,2,249,,Active,,,https://www.redfin.com/VA/Arlington/1805-S-Pollard-St-22204/home/11264093,BRIGHT MLS,VAAR2017736,N,Y,38.8522587,-77.0939707
MLS Listing,,Townhouse,3373 S Wakefield St Unit B,Arlington,VA,22206,599900,2,2.0,FAIRLINGTON COMM,1500,,1940,3,400,460,Active,,,https://www.redfin.com/VA/Arlington/3373-S-Wakefield-St-22206/unit-B/home/11269572,BRIGHT MLS,VAAR2017852,N,Y,38.8345094,-77.0909264
MLS Listing,,Single Family Residential,2406 John Marshall Dr,Arlington,VA,22207,1060000,4,3.5,ALLENCREST,2460,7439,1956,3,431,,Active,June-12-2022 12:00 PM,June-12-2022 03:00 PM,https://www.redfin.com/VA/Arlington/2406-John-Marshall-Dr-22207/home/11225862,BRIGHT MLS,VAAR2017278,N,Y,38.8940503,-77.1477754
MLS Listing,,Single Family Residential,5119 Yorktown Blvd,Arlington,VA,22207,2450000,7,6.0,NORTH ARLINGTON,5522,13808,2022,3,444,,Active,,,https://www.redfin.com/VA/Arlington/5119-Yorktown-Blvd-22207/home/11227351,BRIGHT MLS,VAAR2017826,N,Y,38.9033691,-77.1381126
MLS Listing,,Townhouse,4343 4th St N,Arlington,VA,22203,950000,3,3.5,BUCKINGHAM COMMONS,1686,829,2013,5,563,185,Active,,,https://www.redfin.com/VA/Arlington/4343-4th-St-N-22203/home/45449005,BRIGHT MLS,VAAR2017552,N,Y,38.8723285,-77.1099327
MLS Listing,,Townhouse,2990 S Columbus St,Arlington,VA,22206,569000,2,1.5,FAIRLINGTON VILLAGE,1383,,1944,5,411,412,Active,,,https://www.redfin.com/VA/Arlington/2990-S-Columbus-St-22206/home/11861338,BRIGHT MLS,VAAX2013954,N,Y,38.8375252,-77.1013356
MLS Listing,,Townhouse,2825 24th Rd S,Arlington,VA,22206,900000,3,2.5,GREEN VALLEY,2563,869,2021,5,351,67,Active,,,https://www.redfin.com/VA/Arlington/2825-24th-Rd-S-22206/home/172271136,BRIGHT MLS,VAAR2017866,N,Y,38.8482258,-77.0833942
MLS Listing,,Townhouse,2823 24th Rd S,Arlington,VA,22206,910000,3,2.5,GREEN VALLEY,2583,869,2021,5,352,67,Active,,,https://www.redfin.com/VA/Arlington/2823-24th-Rd-S-22206/home/172271137,BRIGHT MLS,VAAR2017860,N,Y,38.8482773,-77.0834026
MLS Listing,,Townhouse,2827 24th Rd S,Arlington,VA,22206,892500,3,2.5,GREEN VALLEY,2563,869,2021,5,348,67,Active,,,https://www.redfin.com/VA/Arlington/2827-24th-Rd-S-22206/home/172271134,BRIGHT MLS,VAAR2017868,N,Y,38.8481407,-77.0833807
MLS Listing,,Single Family Residential,1903 N Quebec St,Arlington,VA,22207,2150000,5,5.5,CHERRYDALE,4500,10129,1925,5,478,,Active,,,https://www.redfin.com/VA/Arlington/1903-N-Quebec-St-22207/home/11233929,BRIGHT MLS,VAAR2017850,N,Y,38.8939635,-77.1088963
MLS Listing,,Single Family Residential,5150 14th St N,Arlington,VA,22205,1550000,5,4.5,LARCHMONT,3590,6016,2016,5,432,215,Active,,,https://www.redfin.com/VA/Arlington/5150-14th-St-N-22205/home/49797979,BRIGHT MLS,VAAR2017792,N,Y,38.8857607,-77.126382
MLS Listing,,Single Family Residential,1801 N Bryan St,Arlington,VA,22201,2699000,5,5.5,LYON VILLAGE,4979,5500,2017,5,542,,Active,,,https://www.redfin.com/VA/Arlington/1801-N-Bryan-St-22201/home/11247610,BRIGHT MLS,VAAR2017648,N,Y,38.8938321,-77.0901491
MLS Listing,,Townhouse,1300 S Cleveland St #368,Arlington,VA,22204,550000,3,1.5,ARLINGTON VILLAGE,1268,,1939,6,434,641,Active,,,https://www.redfin.com/VA/Arlington/1300-S-Cleveland-St-22204/unit-368/home/11273766,BRIGHT MLS,VAAR2017490,N,Y,38.8602683,-77.0840793
MLS Listing,,Single Family Residential,881 N Frederick St,Arlington,VA,22205,925000,3,3.0,SUMMIT & VEITCH,1925,8960,1939,6,481,,Active,,,https://www.redfin.com/VA/Arlington/881-N-Frederick-St-22205/home/11242034,BRIGHT MLS,VAAR2017430,N,Y,38.8790051,-77.1244942
MLS Listing,,Townhouse,13 N Oakland St,Arlington,VA,22203,949000,4,3.5,HUNTER OAKS TOWNHOUSES,2640,1656,1987,6,359,175,Active,,,https://www.redfin.com/VA/Arlington/13-N-Oakland-St-22203/home/11256744,BRIGHT MLS,VAAR2017668,N,Y,38.8714676,-77.0998153
MLS Listing,,Single Family Residential,6219 22nd Rd N,Arlington,VA,22205,1095000,5,3.0,OVER LEE KNOLLS,2464,8092,1958,6,444,,Active,,,https://www.redfin.com/VA/Arlington/6219-22nd-Rd-N-22205/home/11238872,BRIGHT MLS,VAAR2017734,N,Y,38.8905914,-77.150606
MLS Listing,,Single Family Residential,2415 N Woodrow St,Arlington,VA,22207,1795000,5,3.5,LORCOM GROVE,4156,7665,1998,6,432,,Active,June-12-2022 02:00 PM,June-12-2022 04:00 PM,https://www.redfin.com/VA/Arlington/2415-N-Woodrow-St-22207/home/11232074,BRIGHT MLS,VAAR2017162,N,Y,38.9036446,-77.1218872
