SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,9100 Sweet Spice Ct,Springfield,VA,22152,574990,3,3.0,GREENTREE VILLAGE,2234,2525,1977,6,257,132,Contingent,,,https://www.redfin.com/VA/Springfield/9100-Sweet-Spice-Ct-22152/home/9767734,BRIGHT MLS,VAFX2071286,N,Y,38.772123,-77.2587224
MLS Listing,,Single Family Residential,7214 Caulking Pl,Burke,VA,22015,810000,4,2.5,LONGWOOD KNOLLS,2534,9203,1978,7,320,4,Active,,,https://www.redfin.com/VA/Burke/7214-Caulking-Pl-22015/home/9769161,BRIGHT MLS,VAFX2070260,N,Y,38.7622476,-77.2800914
MLS Listing,,Townhouse,5131 Harford Ln,Burke,VA,22015,450000,2,1.5,LAKE BRADDOCK,1064,1430,1971,21,423,90,Active,,,https://www.redfin.com/VA/Burke/5131-Harford-Ln-22015/home/9706946,BRIGHT MLS,VAFX2069690,N,Y,38.8112411,-77.2684191
MLS Listing,,Single Family Residential,7200 Neaptide Ln,Burke,VA,22015,825000,5,3.0,LONGWOOD KNOLLS,2864,9731,1978,21,288,5,Active,,,https://www.redfin.com/VA/Burke/7200-Neaptide-Ln-22015/home/9769126,BRIGHT MLS,VAFX2068928,N,Y,38.7603198,-77.2766574
MLS Listing,,Townhouse,6590 Forest Dew Ct,Springfield,VA,22152,538000,3,3.5,KEENE MILL VILLAGE SEC 3,1626,1600,1985,28,331,110,Active,,,https://www.redfin.com/VA/Springfield/6590-Forest-Dew-Ct-22152/home/9768386,BRIGHT MLS,VAFX2067138,N,Y,38.77629,-77.2600244
PAST SALE,February-26-2010,Townhouse,5855 Banning Pl,Burke,VA,22015,549900,3,2.5,BURKE STATION SQUARE,1606,1760,1973,21,342,65,Pending,,,https://www.redfin.com/VA/Burke/5855-Banning-Pl-22015/home/9735580,BRIGHT MLS,VAFX2066806,N,Y,38.792693,-77.25426
Redfin Data,,Single Family Residential,6724 Houndmaster Rd,Springfield,VA,22152,719000,4,2.5,Springfield,2190,10522,1968,1,328,,Pre On-Market,,,https://www.redfin.com/VA/Springfield/6724-Houndmaster-Rd-22152/home/9771634,Coming Soon,85841,N,Y,38.7684521,-77.2487998
PAST SALE,April-5-2010,Townhouse,5917 Heritage Square Dr,Burke,VA,22015,480000,3,2.5,HERITAGE SQUARE NORTH,1444,2560,1978,1,332,75,Pending,,,https://www.redfin.com/VA/Burke/5917-Heritage-Square-Dr-22015/home/9740099,BRIGHT MLS,VAFX2075648,N,Y,38.7902653,-77.2650923
MLS Listing,,Townhouse,10568 Reeds Landing Cir,Burke,VA,22015,528900,3,2.0,BURKE CENTRE,1470,3598,1980,1,360,82,Active,June-11-2022 12:00 PM,June-11-2022 02:00 PM,https://www.redfin.com/VA/Burke/10568-Reed-s-Landing-Cir-22015/home/9732530,BRIGHT MLS,VAFX2075076,N,Y,38.7900815,-77.3087045
MLS Listing,,Townhouse,6267 Kerrydale Dr,Springfield,VA,22152,529900,3,3.5,SHANNON STATION,1448,1600,1982,2,366,83,Active,June-11-2022 02:00 PM,June-11-2022 04:00 PM,https://www.redfin.com/VA/Springfield/6267-Kerrydale-Dr-22152/home/9740238,BRIGHT MLS,VAFX2074450,N,Y,38.7802262,-77.254502
