SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,6706 Debra Lu Way,Springfield,VA,22150,639000,3,2.5,JAPONICA SEC 7,1900,1400,1998,1,336,118,Active,June-11-2022 01:00 PM,June-11-2022 03:00 PM,https://www.redfin.com/VA/Springfield/6706-Debra-Lu-Way-22150/home/9782235,BRIGHT MLS,VAFX2071776,N,Y,38.7730125,-77.1600426
MLS Listing,,Single Family Residential,6206 Duntley Ct,Springfield,VA,22152,689000,4,3.0,KEENE MILL MANOR,2193,14644,1963,19,314,,Active,,,https://www.redfin.com/VA/West-Springfield/6206-Duntley-Ct-22152/home/9745186,BRIGHT MLS,VAFX2070190,N,Y,38.7833105,-77.215838
MLS Listing,,Single Family Residential,8025 Parklane Ct,Springfield,VA,22153,775000,3,3.5,WOODSTREAM,2368,10590,1985,21,327,64,Active,June-12-2022 01:00 PM,June-12-2022 03:00 PM,https://www.redfin.com/VA/Springfield/8025-Parklane-Ct-22153/home/9802018,BRIGHT MLS,VAFX2068924,N,Y,38.7408374,-77.2305237
MLS Listing,,Townhouse,7757 Durer Ct,Springfield,VA,22153,490000,3,2.5,NEWINGTON STATION,1232,1540,1973,21,398,89,Active,,,https://www.redfin.com/VA/Springfield/7757-Durer-Ct-22153/home/9805932,BRIGHT MLS,VAFX2069710,N,Y,38.725876,-77.210678
MLS Listing,,Townhouse,6590 Forest Dew Ct,Springfield,VA,22152,538000,3,3.5,KEENE MILL VILLAGE SEC 3,1626,1600,1985,28,331,110,Active,,,https://www.redfin.com/VA/Springfield/6590-Forest-Dew-Ct-22152/home/9768386,BRIGHT MLS,VAFX2067138,N,Y,38.77629,-77.2600244
MLS Listing,,Single Family Residential,6800 Ben Franklin Rd,Springfield,VA,22150,599000,6,3.0,BEN FRANKLIN PARK,2276,5133,1977,1,263,21,Active,June-11-2022 01:00 PM,June-11-2022 04:00 PM,https://www.redfin.com/VA/Springfield/6800-Ben-Franklin-Rd-22150/home/9777886,BRIGHT MLS,VAFX2073624,N,Y,38.7702236,-77.1930423
MLS Listing,,Single Family Residential,6825 Kite Flyer Ct,Springfield,VA,22150,625000,4,2.5,BEN FRANKLIN PARK,2136,5157,1977,1,293,,Active,June-12-2022 01:00 PM,June-12-2022 03:00 PM,https://www.redfin.com/VA/Springfield/6825-Kite-Flyer-Ct-22150/home/9777806,BRIGHT MLS,VAFX2075302,N,Y,38.7691479,-77.1884535
MLS Listing,,Townhouse,6267 Kerrydale Dr,Springfield,VA,22152,529900,3,3.5,SHANNON STATION,1448,1600,1982,2,366,83,Active,June-11-2022 02:00 PM,June-11-2022 04:00 PM,https://www.redfin.com/VA/Springfield/6267-Kerrydale-Dr-22152/home/9740238,BRIGHT MLS,VAFX2074450,N,Y,38.7802262,-77.254502
MLS Listing,,Townhouse,9007 Mulvaney Ct,Springfield,VA,22152,550000,4,3.5,SHANNON STATION,1926,1600,1982,2,286,84,Active,June-10-2022 05:00 PM,June-10-2022 07:00 PM,https://www.redfin.com/VA/Springfield/9007-Mulvaney-Ct-22152/home/9740206,BRIGHT MLS,VAFX2071112,N,Y,38.779345,-77.2552653
MLS Listing,,Single Family Residential,8812 Cuttermill Pl,Springfield,VA,22153,729900,4,2.5,ROLLING VALLEY,2008,8643,1972,4,363,10,Active,,,https://www.redfin.com/VA/Springfield/8812-Cuttermill-Pl-22153/home/9774725,BRIGHT MLS,VAFX2074788,N,Y,38.7574659,-77.2495182
MLS Listing,,Townhouse,8546 Forrester #880,Springfield,VA,22152,325900,2,1.0,CARDINAL FOREST CONDO,992,,1968,4,329,348,Active,June-11-2022 12:00 PM,June-11-2022 03:00 PM,https://www.redfin.com/VA/West-Springfield/8546-Forrester-Blvd-22152/unit-880/home/9742096,BRIGHT MLS,VAFX2074688,N,Y,38.7921481,-77.2389268
